Node,degree,betweenness,closeness,eigenvector
Abiotrophia,0.13147410358565736,0.00048572951334853,0.34271523178807944,0.021845930632888394
Allokutzneria,0.11553784860557768,0.0002486863027090965,0.32857142857142857,0.017270721738441592
Amedibacterium,0.08366533864541832,2.3423395095475697e-05,0.3209302325581395,0.014314028762237531
Anaerohalosphaera,0.11155378486055777,0.00011231917980493584,0.32805071315372425,0.018222602951931986
Aneurinibacillus,0.05976095617529881,4.459266821148752e-05,0.3174846625766871,0.00856798055271
Asaia,0.10756972111553785,0.00011594418937687254,0.33934426229508197,0.019663162519065348
Aurantimonas,0.09163346613545817,0.0002756084384432608,0.32547169811320753,0.01631613325960352
Bacterioplanoides,0.11553784860557768,0.00025151127313224745,0.32857142857142857,0.017929135468842637
Blastomonas,0.13147410358565736,0.0004002865596819479,0.3306709265175719,0.02015024823677289
Calycomorphotria,0.12749003984063745,0.0003137716710904114,0.3421487603305785,0.02061963411680262
Candidozyma,0.12749003984063745,0.0004557325705278388,0.3421487603305785,0.02151339271352254
Capilliphycus,0.06772908366533864,4.477328780117625e-05,0.3035190615835777,0.009261031786779164
Casimicrobium,0.14741035856573706,0.0026360321354615152,0.3935361216730038,0.030763256455574876
Castellaniella,0.18725099601593626,0.011871635540020778,0.43125,0.06307717380641727
Catellatospora,0.199203187250996,0.01626136104765909,0.44042553191489364,0.06906710719365484
Catenovulum,0.1952191235059761,0.018263137821294913,0.4651685393258427,0.09178844442378822
Cellulomonas,0.11553784860557768,0.0006955151618759026,0.3826247689463956,0.023768477690076884
Chakrabartyella,0.16334661354581673,0.005919043526368541,0.41566265060240964,0.040726184567926565
Chamaesiphon,0.13545816733067728,0.0004301848906201105,0.34328358208955223,0.022547160397057422
Chitiniphilus,0.16733067729083664,0.007177856458508395,0.41818181818181815,0.04677499731658832
Chitinolyticbacter,0.13147410358565736,0.004007306438671551,0.41317365269461076,0.047578380136414127
Demequina,0.03585657370517928,6.124846125949497e-06,0.3039647577092511,0.00434312065031059
Diaphorobacter,0.0796812749003984,2.8345117553501415e-06,0.323943661971831,0.01539907803090157
Dichelobacter,0.08764940239043825,3.855169555442535e-05,0.3249607535321821,0.013872774907559941
Dickeya,0.21115537848605578,0.022589186291981634,0.4519650655021834,0.08014298332772153
Echinicola,0.1752988047808765,0.012621601674339117,0.4198782961460446,0.04967808544538144
Endoriftia,0.17131474103585656,0.011307189414968116,0.43487394957983194,0.0649055819108636
Faecalimonas,0.13545816733067728,0.0012754381379405334,0.38691588785046727,0.026774030984155015
Fastidiosipila,0.10358565737051792,3.75023931539557e-05,0.32701421800947866,0.017501635441915298
Ferrovibrio,0.08366533864541832,7.798344306378828e-05,0.336038961038961,0.015222860776948626
Granulicatella,0.12350597609561753,0.0002460243075387538,0.3415841584158416,0.021453105518354304
Gulosibacter,0.08764940239043825,1.4642342330217833e-05,0.3249607535321821,0.015964256693059137
Halomicrobium,0.14741035856573706,0.008173492266338045,0.4066797642436149,0.03794782628761388
Harbinvirus,0.1553784860557769,0.005790379290958155,0.41317365269461076,0.043868408214896425
Absconditicoccus,0.00796812749003984,0.0,0.2919605077574048,0.0011806700105197838
Aquaspirillum,0.09163346613545817,0.012173793737234392,0.4107142857142857,0.05391559936977348
Bodocaedibacter,0.01195219123505976,7.149812727501972e-05,0.29827089337175794,0.0015950070567767307
Acetoanaerobium,0.01593625498007968,0.0,0.31363636363636366,0.0028442518607772766
Alicyclobacillus,0.1553784860557769,0.011783332088897962,0.4490238611713666,0.08484721672062191
Brachybacterium,0.05179282868525896,0.001639162174546137,0.37568058076225047,0.022279189891630215
Calothrix,0.01593625498007968,0.0,0.31363636363636366,0.0028442518607772757
Gloeobacter,0.04780876494023904,0.0013914926625665572,0.3791208791208791,0.02375703347619514
Acetobacter,0.06374501992031872,0.00026578297327836794,0.39579349904397704,0.03662023898840364
Acidisarcina,0.1553784860557769,0.004725354602909792,0.42768595041322316,0.07242665412673419
Actinobaculum,0.28685258964143423,0.018045631705829554,0.5362694300518135,0.15926565651178107
Anaeropeptidivorans,0.3107569721115538,0.02178006146063149,0.5149253731343284,0.15907209522904792
Annandia,0.23904382470119523,0.010331565436482922,0.5061124694376528,0.135551843610164
Aquipseudomonas,0.2549800796812749,0.017813181995763684,0.5267175572519084,0.14512594874425486
Audreyjarvisvirus,0.26294820717131473,0.010720629698636599,0.5267175572519084,0.15219981601266017
Aureibacter,0.23107569721115537,0.01596918901207936,0.5,0.12987006313441118
Caldinitratiruptor,0.24302788844621515,0.02176322271733066,0.49640287769784175,0.12184949248537259
Chitinimonas,0.19123505976095617,0.009838576374986101,0.44042553191489364,0.08865770638685515
Chloroherpeton,0.13545816733067728,0.0010283959489666812,0.42073170731707316,0.07775173949053571
Chondromyces,0.04780876494023904,0.00231444227037962,0.38691588785046727,0.02639672584102578
Ewingella,0.0398406374501992,2.3738322445403445e-05,0.3644366197183099,0.01496963849824285
Halalkalicoccus,0.22709163346613545,0.00607852176806239,0.47368421052631576,0.12518903957205488
Halostagnicola,0.2788844621513944,0.014710827921208314,0.5227272727272727,0.1536400863048502
Hamiltonella,0.1553784860557769,0.002088810920856035,0.42857142857142855,0.07494348033350642
Aeromicrobium,0.199203187250996,0.008875343476541089,0.46621621621621623,0.1101545627281956
Alkalilimnicola,0.14342629482071712,0.006076601012821566,0.42857142857142855,0.06733423102916387
Alternaria,0.11553784860557768,0.0034031952026369106,0.4099009900990099,0.05135696483104303
Anaeromyxobacter,0.20318725099601592,0.004305219277998481,0.48705882352941177,0.12534024691580267
Anoxybacter,0.11155378486055777,0.0008327240022281819,0.39655172413793105,0.046877420340875366
Aquincola,0.13545816733067728,0.0008876753532137881,0.42418032786885246,0.07471941628586976
Aromatoleum,0.1593625498007968,0.006226988518712485,0.44612068965517243,0.08006853890542945
Austwickia,0.2749003984063745,0.01823236998976435,0.49403341288782815,0.14912113562539087
Basilea,0.2908366533864542,0.012162776507538105,0.5214105793450882,0.15894192702616675
Biomaibacter,0.11155378486055777,0.00030230967835136576,0.40828402366863903,0.056280426504576556
Caldifermentibacillus,0.14342629482071712,0.001480624597538816,0.41818181818181815,0.06454877440552263
Catalinimonas,0.14741035856573706,0.003920237132491276,0.414,0.058867866803129616
Chazhemtobacterium,0.10756972111553785,0.002435056037232682,0.3798165137614679,0.03735771180758094
Chondrinema,0.099601593625498,0.00021411872598674038,0.4050880626223092,0.048328375354070835
Clostridium,0.2549800796812749,0.017952316518258397,0.4847775175644028,0.12832851717284896
Deinococcus,0.10358565737051792,0.0001614179107209739,0.3905660377358491,0.04894664181906344
Desemzia,0.21115537848605578,0.00410266418334648,0.458980044345898,0.12030825322765079
Desulfoscipio,0.29880478087649404,0.018626365134428707,0.518796992481203,0.15820823892581778
Flavobacterium,0.11553784860557768,0.004610586932204823,0.4123505976095618,0.05390121729131806
Frederiksenia,0.11952191235059761,0.0009346164027333895,0.3988439306358382,0.05094374194916393
Fretibacter,0.10756972111553785,0.001642288610284873,0.4027237354085603,0.046291486731565766
Gallibacterium,0.05179282868525896,7.317095228488663e-05,0.3556701030927835,0.018304982606620706
Gammapapillomavirus,0.0398406374501992,0.011080763022293008,0.31993817619783615,0.008777680521729302
Glaesserella,0.07171314741035856,0.005507793618423053,0.3791208791208791,0.0278456694886129
Halorussus,0.18725099601593626,0.004261555749571789,0.4490238611713666,0.09075775354325993
Acidovorax,0.00796812749003984,4.553215708594194e-06,0.2974137931034483,0.0017078474103917093
Actinarchaeum,0.01593625498007968,1.0624169986719787e-05,0.24324324324324326,8.333352222242051e-05
Arsenicicoccus,0.04780876494023904,0.013357730420880225,0.3189522342064715,0.0025557219732011594
