source,target,asso,diss,adja
Aceticella,Debaryomyces,0.490921943,0.504518611,0.495481389
Aceticella,Halobacillus,-0.500030217,0.866034127,0.133965873
Aceticella,Halopiger,0.470218368,0.514675447,0.485324553
Advenella,Agrilutibacter,0.406579988,0.544710938,0.455289062
Advenella,Allocoprobacillus,0.454809168,0.522106709,0.477893291
Aestuariibaculum,Ammonifex,0.435228794,0.531399664,0.468600336
Aestuariibaculum,Gudongella,0.488901635,0.505518726,0.494481274
Agrilutibacter,Anabaena,0.435815795,0.531123434,0.468876566
Agrilutibacter,Deferribacter,0.433444221,0.532238565,0.467761435
Agrilutibacter,Ensifer,-0.402322451,0.837353704,0.162646296
Algihabitans,Coprococcus,-0.435778546,0.847283467,0.152716533
Algihabitans,Deferribacter,0.440374608,0.528973247,0.471026753
Algihabitans,Ferrovibrio,0.559453966,0.469332523,0.530667477
Aliirhizobium,Cruoricaptor,0.400566446,0.54746395,0.45253605
Aliirhizobium,Gleimia,0.412240763,0.542106649,0.457893351
Alkalilimnicola,Aquella,0.426079484,0.535686716,0.464313284
Alkalilimnicola,Glycocaulis,0.474822467,0.512434158,0.487565842
Allocoprobacillus,Anabaena,0.403115128,0.546298853,0.453701147
Allocoprobacillus,Deferribacter,0.418123234,0.539387044,0.460612956
Allocoprobacillus,Halospeciosus,0.40711471,0.544465467,0.455534533
Amaricoccus,Anaerostipes,-0.431866271,0.846128321,0.153871679
Amaricoccus,Chloroherpeton,-0.439225746,0.84829999,0.15170001
Amaricoccus,Citricoccus,-0.400625137,0.836846801,0.163153199
Amaricoccus,Egbenema,0.427933258,0.534820877,0.465179123
Ammonifex,Cysteiniphilum,0.446224597,0.526201199,0.473798801
Ammonifex,Gudongella,0.400863338,0.547328357,0.452671643
Anabaena,Deferribacter,0.418514408,0.539205708,0.460794292
Anaerostipes,Bordetella,0.507685709,0.496142263,0.503857737
Anaerostipes,Chloroherpeton,0.497359881,0.501318321,0.498681679
Anaerostipes,Citricoccus,0.475530847,0.512088446,0.487911554
Anaerostipes,Croceimicrobium,0.412044392,0.5421972,0.4578028
Anaerostipes,Egbenema,-0.499665865,0.865928942,0.134071058
Anatilimnocola,Aquella,0.434015746,0.531970043,0.468029957
Anatilimnocola,Arthrobacter,0.407958462,0.544077907,0.455922093
Anatilimnocola,Dermacoccus,0.505818626,0.497082173,0.502917827
Anatilimnocola,Geosporobacter,0.429540208,0.534069186,0.465930814
Antarctobacter,Butyricimonas,0.412443666,0.542013069,0.457986931
Antarctobacter,Epulonipiscium,0.61546509,0.43848313,0.56151687
Arthrobacter,Geosporobacter,0.404678174,0.545583095,0.454416905
Aurantimicrobium,Erwinia,0.416220289,0.540268318,0.459731682
Aurantimicrobium,Gleimia,0.400551107,0.547470955,0.452529045
Bordetella,Chloroherpeton,0.401316843,0.547121174,0.452878826
Bordetella,Citricoccus,0.413635449,0.541463088,0.458536912
Bordetella,Croceimicrobium,0.438816019,0.529709345,0.470290655
Butyricimonas,Epulonipiscium,0.40913341,0.543537759,0.456462241
Chloroherpeton,Citricoccus,0.552368391,0.473091751,0.526908249
Chloroherpeton,Croceimicrobium,0.515269671,0.492305966,0.507694034
Chloroherpeton,Egbenema,-0.474810746,0.858723106,0.141276894
